"depto_id","prov_nombre","depto_nombre","provincia_prov_id"
1,SALTA,LA CANDELARIA,
2,SALTA,CERRILLOS,
3,SALTA,ANTA,
4,SALTA,CAFAYATE,
5,SALTA,ROSARIO DE LA FRONTERA,
6,SALTA,ROSARIO DE LERMA,
7,SALTA,GUACHIPAS,
8,SALTA,RIVADAVIA,
9,SALTA,CAPITAL,
10,SALTA,LA CALDERA,
11,SALTA,LOS ANDES,
12,SALTA,LA POMA,
13,SALTA,IRUYA,
14,SALTA,CACHI,
15,SALTA,CHICOANA,
16,SALTA,SAN CARLOS,
17,SALTA,MOLINOS,
18,SALTA,LA VIÑA,
19,SALTA,GENERAL GUEMES,
20,SALTA,METAN,
21,SALTA,SANTA VICTORIA,
22,SALTA,ORAN,
23,SALTA,GENERAL JOSE DE SAN MARTIN,
24,BUENOS AIRES,LA PLATA,
25,BUENOS AIRES,VICENTE LOPEZ,
26,BUENOS AIRES,SAN ISIDRO,
27,BUENOS AIRES,TIGRE,
28,BUENOS AIRES,MALVINAS ARGENTINAS,
29,BUENOS AIRES,ESCOBAR,
30,BUENOS AIRES,PILAR,
31,BUENOS AIRES,SAN FERNANDO,
32,BUENOS AIRES,GENERAL SAN MARTIN,
33,BUENOS AIRES,TRES DE FEBRERO,
34,BUENOS AIRES,SAN MIGUEL,
35,BUENOS AIRES,JOSE CLEMENTE PAZ,
36,BUENOS AIRES,HURLINGHAM,
37,BUENOS AIRES,MORON,
38,BUENOS AIRES,LA MATANZA,
39,BUENOS AIRES,ITUZAINGO,
40,BUENOS AIRES,MERLO,
41,BUENOS AIRES,MARCOS PAZ,
42,BUENOS AIRES,GENERAL LAS HERAS,
43,BUENOS AIRES,MORENO,
44,BUENOS AIRES,GENERAL RODRIGUEZ,
45,BUENOS AIRES,EZEIZA,
46,BUENOS AIRES,ESTEBAN ECHEVERRIA,
47,BUENOS AIRES,CAÑUELAS,
48,BUENOS AIRES,LOBOS,
49,BUENOS AIRES,LANUS,
50,BUENOS AIRES,LOMAS DE ZAMORA,
51,BUENOS AIRES,PRESIDENTE PERON,
52,BUENOS AIRES,BERAZATEGUI,
53,BUENOS AIRES,QUILMES,
54,BUENOS AIRES,ALMIRANTE BROWN,
55,BUENOS AIRES,FLORENCIO VARELA,
56,BUENOS AIRES,SAN VICENTE,
57,BUENOS AIRES,AVELLANEDA,
58,BUENOS AIRES,MAGDALENA,
59,BUENOS AIRES,PUNTA INDIO,
60,BUENOS AIRES,BRANDSEN,
61,BUENOS AIRES,BERISSO,
62,BUENOS AIRES,ENSENADA,
63,BUENOS AIRES,GENERAL PAZ,
64,BUENOS AIRES,PERGAMINO,
65,BUENOS AIRES,PELLEGRINI,
66,BUENOS AIRES,ROJAS,
67,BUENOS AIRES,COLON,
68,BUENOS AIRES,ARRECIFES,
69,BUENOS AIRES,SALTO,
70,BUENOS AIRES,CHACABUCO,
71,BUENOS AIRES,CARMEN DE ARECO,
72,BUENOS AIRES,RAMALLO,
73,BUENOS AIRES,CAPITAN SARMIENTO,
74,BUENOS AIRES,BARADERO,
75,BUENOS AIRES,SAN ANTONIO DE ARECO,
76,BUENOS AIRES,SAN ANDRES DE GILES,
77,BUENOS AIRES,EXALTACION DE LA CRUZ,
78,BUENOS AIRES,ZARATE,
79,BUENOS AIRES,CAMPANA,
80,BUENOS AIRES,SAN NICOLAS,
81,BUENOS AIRES,SAN PEDRO,
82,BUENOS AIRES,JUNIN,
83,BUENOS AIRES,GENERAL ARENALES,
84,BUENOS AIRES,GENERAL VIAMONTE,
85,BUENOS AIRES,LEANDRO N ALEM,
86,BUENOS AIRES,GENERAL PINTO,
87,BUENOS AIRES,BRAGADO,
88,BUENOS AIRES,GENERAL VILLEGAS,
89,BUENOS AIRES,FLORENTINO AMEGHINO,
90,BUENOS AIRES,LINCOLN,
91,BUENOS AIRES,CARLOS TEJEDOR,
92,BUENOS AIRES,RIVADAVIA,
93,BUENOS AIRES,SALLIQUELO,
94,BUENOS AIRES,TRES LOMAS,
95,BUENOS AIRES,ADOLFO ALSINA,
96,BUENOS AIRES,TRENQUE LAUQUEN,
97,BUENOS AIRES,PEHUAJO,
98,BUENOS AIRES,GUAMINI,
99,BUENOS AIRES,ALBERTI,
100,BUENOS AIRES,DAIREAUX,
101,BUENOS AIRES,HIPOLITO YRIGOYEN,
102,BUENOS AIRES,"9 DE JULIO",
103,BUENOS AIRES,"25 DE MAYO",
104,BUENOS AIRES,BOLIVAR,
105,BUENOS AIRES,CARLOS CASARES,
106,BUENOS AIRES,GENERAL ALVEAR,
107,BUENOS AIRES,OLAVARRIA,
108,BUENOS AIRES,TAPALQUE,
109,BUENOS AIRES,MERCEDES,
110,BUENOS AIRES,LUJAN,
111,BUENOS AIRES,NAVARRO,
112,BUENOS AIRES,SUIPACHA,
113,BUENOS AIRES,CHIVILCOY,
114,BUENOS AIRES,TANDIL,
115,BUENOS AIRES,BENITO JUAREZ,
116,BUENOS AIRES,NECOCHEA,
117,BUENOS AIRES,LOBERIA,
118,BUENOS AIRES,BALCARCE,
119,BUENOS AIRES,RAUCH,
120,BUENOS AIRES,ADOLFO GONZALES CHAVES,
121,BUENOS AIRES,DOLORES,
122,BUENOS AIRES,TORDILLO,
123,BUENOS AIRES,CASTELLI,
124,BUENOS AIRES,GENERAL LAVALLE,
125,BUENOS AIRES,LA COSTA,
126,BUENOS AIRES,PILA,
127,BUENOS AIRES,LEZAMA,
128,BUENOS AIRES,CHASCOMUS,
129,BUENOS AIRES,GENERAL GUIDO,
130,BUENOS AIRES,MAIPU,
131,BUENOS AIRES,AYACUCHO,
132,BUENOS AIRES,GENERAL MADARIAGA,
133,BUENOS AIRES,VILLA GESELL,
134,BUENOS AIRES,PINAMAR,
135,BUENOS AIRES,MAR CHIQUITA,
136,BUENOS AIRES,LAS FLORES,
137,BUENOS AIRES,SALADILLO,
138,BUENOS AIRES,AZUL,
139,BUENOS AIRES,MONTE,
140,BUENOS AIRES,GENERAL BELGRANO,
141,BUENOS AIRES,ROQUE PEREZ,
142,BUENOS AIRES,LAPRIDA,
143,BUENOS AIRES,GENERAL LAMADRID,
144,BUENOS AIRES,TRES ARROYOS,
145,BUENOS AIRES,CORONEL PRINGLES,
146,BUENOS AIRES,SAN CAYETANO,
147,BUENOS AIRES,CORONEL DORREGO,
148,BUENOS AIRES,CORONEL SUAREZ,
149,BUENOS AIRES,GENERAL PUEYRREDON,
150,BUENOS AIRES,GENERAL ALVARADO,
151,BUENOS AIRES,BAHIA BLANCA,
152,BUENOS AIRES,TORNQUIST,
153,BUENOS AIRES,CORONEL ROSALES,
154,BUENOS AIRES,VILLARINO,
155,BUENOS AIRES,PUAN,
156,BUENOS AIRES,PATAGONES,
157,BUENOS AIRES,MONTE HERMOSO,
158,BUENOS AIRES,SAAVEDRA,
159,CAPITAL FEDERAL,CAPITAL FEDERAL,
160,SAN LUIS,AYACUCHO,
161,SAN LUIS,GOBERNADOR DUPUY,
162,SAN LUIS,JUAN MARTIN DE PUEYRREDON,
163,SAN LUIS,CORONEL PRINGLES,
164,SAN LUIS,LIBERTADOR GENERAL SAN MARTIN,
165,SAN LUIS,BELGRANO,
166,SAN LUIS,GENERAL PEDERNERA,
167,SAN LUIS,JUNIN,
168,SAN LUIS,CHACABUCO,
169,ENTRE RIOS,VICTORIA,
170,ENTRE RIOS,GUALEGUAYCHU,
171,ENTRE RIOS,ISLAS DEL IBICUY,
172,ENTRE RIOS,COLON,
173,ENTRE RIOS,URUGUAY,
174,ENTRE RIOS,GUALEGUAY,
175,ENTRE RIOS,TALA,
176,ENTRE RIOS,FEDERACION,
177,ENTRE RIOS,PARANA,
178,ENTRE RIOS,DIAMANTE,
179,ENTRE RIOS,NOGOYA,
180,ENTRE RIOS,LA PAZ,
181,ENTRE RIOS,VILLAGUAY,
182,ENTRE RIOS,FEDERAL,
183,ENTRE RIOS,CONCORDIA,
184,ENTRE RIOS,FELICIANO,
185,ENTRE RIOS,SAN SALVADOR,
186,LA RIOJA,CAPITAL,
187,LA RIOJA,GENERAL OCAMPO,
188,LA RIOJA,GENERAL SAN MARTIN,
189,LA RIOJA,GENERAL BELGRANO,
190,LA RIOJA,CHAMICAL,
191,LA RIOJA,SANAGASTA,
192,LA RIOJA,CASTRO BARROS,
193,LA RIOJA,ARAUCO,
194,LA RIOJA,SAN BLAS DE LOS SAUCES,
195,LA RIOJA,CORONEL FELIPE VARELA,
196,LA RIOJA,VINCHINA,
197,LA RIOJA,GENERAL LAMADRID,
198,LA RIOJA,CHILECITO,
199,LA RIOJA,FAMATINA,
200,LA RIOJA,GENERAL ANGEL VICENTE PEÑALOZA,
201,LA RIOJA,GENERAL JUAN FACUNDO QUIROGA,
202,LA RIOJA,INDEPENDENCIA,
203,LA RIOJA,ROSARIO VERA PEÑALOZA,
204,SANTIAGO DEL ESTERO,RIVADAVIA,
205,SANTIAGO DEL ESTERO,MITRE,
206,SANTIAGO DEL ESTERO,AGUIRRE,
207,SANTIAGO DEL ESTERO,SALAVINA,
208,SANTIAGO DEL ESTERO,QUEBRACHOS,
209,SANTIAGO DEL ESTERO,BELGRANO,
210,SANTIAGO DEL ESTERO,ALBERDI,
211,SANTIAGO DEL ESTERO,TABOADA,
212,SANTIAGO DEL ESTERO,COPO,
213,SANTIAGO DEL ESTERO,MORENO,
214,SANTIAGO DEL ESTERO,JUAN F IBARRA,
215,SANTIAGO DEL ESTERO,JIMENEZ,
216,SANTIAGO DEL ESTERO,FIGUEROA,
217,SANTIAGO DEL ESTERO,RIO HONDO,
218,SANTIAGO DEL ESTERO,AVELLANEDA,
219,SANTIAGO DEL ESTERO,PELLEGRINI,
220,SANTIAGO DEL ESTERO,CAPITAL,
221,SANTIAGO DEL ESTERO,BANDA,
222,SANTIAGO DEL ESTERO,SILIPICA,
223,SANTIAGO DEL ESTERO,ATAMISQUI,
224,SANTIAGO DEL ESTERO,CHOYA,
225,SANTIAGO DEL ESTERO,GUASAYAN,
226,SANTIAGO DEL ESTERO,LORETO,
227,SANTIAGO DEL ESTERO,ROBLES,
228,SANTIAGO DEL ESTERO,SAN MARTIN,
229,SANTIAGO DEL ESTERO,SARMIENTO,
230,SANTIAGO DEL ESTERO,OJO DE AGUA,
231,CHACO,SAN FERNANDO,
232,CHACO,FRAY JUSTO SANTA MARIA DE ORO,
233,CHACO,"1 DE MAYO",
234,CHACO,LIBERTAD,
235,CHACO,LIBERTADOR GRAL SAN MARTIN,
236,CHACO,"12 DE OCTUBRE",
237,CHACO,TAPENAGA,
238,CHACO,GENERAL DONOVAN,
239,CHACO,SARGENTO CABRAL,
240,CHACO,BERMEJO,
241,CHACO,QUITILIPI,
242,CHACO,"25 DE MAYO",
