"Provincia","Departamento","Localidad","Calle_Largo","Calle_Apellido","Calle_Nombre","Calle_Antepone","Column8","Punto_Cardinal","Calle_Normalizada","Tipo","CPA8","Desde","Hasta","Tipo2","CP4"
SALTA,LA CANDELARIA,EL TALA,"20 DE FEBRERO","20 DE FEBRERO","","","","","20 DE FEBRERO",C,A4126AAA,"1","99",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"20 DE FEBRERO","20 DE FEBRERO","","","","","20 DE FEBRERO",C,A4126AAB,"2","100",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"20 DE FEBRERO","20 DE FEBRERO","","","","","20 DE FEBRERO",C,A4126AAC,"101","199",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"20 DE FEBRERO","20 DE FEBRERO","","","","","20 DE FEBRERO",C,A4126AAD,"102","200",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"20 DE FEBRERO","20 DE FEBRERO","","","","","20 DE FEBRERO",C,A4126AAE,"201","299",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"20 DE FEBRERO","20 DE FEBRERO","","","","","20 DE FEBRERO",C,A4126AAF,"202","300",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"25 DE MAYO","25 DE MAYO","","","","","25 DE MAYO",C,A4126ABA,"1","99",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"25 DE MAYO","25 DE MAYO","","","","","25 DE MAYO",C,A4126ABB,"2","100",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"25 DE MAYO","25 DE MAYO","","","","","25 DE MAYO",C,A4126ABC,"101","199",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"25 DE MAYO","25 DE MAYO","","","","","25 DE MAYO",C,A4126ABD,"102","200",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"25 DE MAYO","25 DE MAYO","","","","","25 DE MAYO",C,A4126ABE,"201","299",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"25 DE MAYO","25 DE MAYO","","","","","25 DE MAYO",C,A4126ABF,"202","300",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"9 DE JULIO","9 DE JULIO","","","","","9 DE JULIO",C,A4126ACA,"1","99",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"9 DE JULIO","9 DE JULIO","","","","","9 DE JULIO",C,A4126ACB,"2","100",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"9 DE JULIO","9 DE JULIO","","","","","9 DE JULIO",C,A4126ACC,"101","199",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"9 DE JULIO","9 DE JULIO","","","","","9 DE JULIO",C,A4126ACD,"102","200",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"9 DE JULIO","9 DE JULIO","","","","","9 DE JULIO",C,A4126ACE,"201","299",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,"9 DE JULIO","9 DE JULIO","","","","","9 DE JULIO",C,A4126ACF,"202","300",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,DECARI JOSE MARIA,DECARI,JOSE MARIA,"","","",AV JOSE MARIA DECARI,C,A4126ADA,"1","99",AVENIDA,"4126"
SALTA,LA CANDELARIA,EL TALA,DECARI JOSE MARIA,DECARI,JOSE MARIA,"","","",AV JOSE MARIA DECARI,C,A4126ADB,"101","199",AVENIDA,"4126"
SALTA,LA CANDELARIA,EL TALA,DECARI JOSE MARIA,DECARI,JOSE MARIA,"","","",AV JOSE MARIA DECARI,C,A4126ADC,"201","299",AVENIDA,"4126"
SALTA,LA CANDELARIA,EL TALA,DECARI JOSE MARIA,DECARI,JOSE MARIA,"","","",AV JOSE MARIA DECARI,C,A4126ADD,"301","399",AVENIDA,"4126"
SALTA,LA CANDELARIA,EL TALA,DECARI JOSE MARIA,DECARI,JOSE MARIA,"","","",AV JOSE MARIA DECARI,C,A4126ADN,"2","100",AVENIDA,"4126"
SALTA,LA CANDELARIA,EL TALA,DECARI JOSE MARIA,DECARI,JOSE MARIA,"","","",AV JOSE MARIA DECARI,C,A4126ADO,"102","200",AVENIDA,"4126"
SALTA,LA CANDELARIA,EL TALA,DECARI JOSE MARIA,DECARI,JOSE MARIA,"","","",AV JOSE MARIA DECARI,C,A4126ADP,"202","300",AVENIDA,"4126"
SALTA,LA CANDELARIA,EL TALA,DECARI JOSE MARIA,DECARI,JOSE MARIA,"","","",AV JOSE MARIA DECARI,C,A4126ADQ,"302","400",AVENIDA,"4126"
SALTA,LA CANDELARIA,EL TALA,BELGRANO GENERAL MANUEL,BELGRANO,MANUEL,GENERAL,"","",GRAL M BELGRANO,C,A4126AEA,"1","99",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,BELGRANO GENERAL MANUEL,BELGRANO,MANUEL,GENERAL,"","",GRAL M BELGRANO,C,A4126AEB,"2","100",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,BELGRANO GENERAL MANUEL,BELGRANO,MANUEL,GENERAL,"","",GRAL M BELGRANO,C,A4126AEC,"101","199",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,BELGRANO GENERAL MANUEL,BELGRANO,MANUEL,GENERAL,"","",GRAL M BELGRANO,C,A4126AED,"102","200",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,BELGRANO GENERAL MANUEL,BELGRANO,MANUEL,GENERAL,"","",GRAL M BELGRANO,C,A4126AEE,"201","299",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,BELGRANO GENERAL MANUEL,BELGRANO,MANUEL,GENERAL,"","",GRAL M BELGRANO,C,A4126AEF,"202","300",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,MADRID OMAR ALFREDO,MADRID,OMAR ALFREDO,"",SAN ANTONIO,"",OMAR ALFREDO MADRID,C,A4126AGA,"1","99",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,MADRID OMAR ALFREDO,MADRID,OMAR ALFREDO,"",SAN ANTONIO,"",OMAR ALFREDO MADRID,C,A4126AGB,"2","100",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,MADRID OMAR ALFREDO,MADRID,OMAR ALFREDO,"",SAN ANTONIO,"",OMAR ALFREDO MADRID,C,A4126AGC,"101","199",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,MADRID OMAR ALFREDO,MADRID,OMAR ALFREDO,"",SAN ANTONIO,"",OMAR ALFREDO MADRID,C,A4126AGD,"102","200",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,MADRID OMAR ALFREDO,MADRID,OMAR ALFREDO,"",SAN ANTONIO,"",OMAR ALFREDO MADRID,C,A4126AGE,"201","299",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,MADRID OMAR ALFREDO,MADRID,OMAR ALFREDO,"",SAN ANTONIO,"",OMAR ALFREDO MADRID,C,A4126AGF,"202","300",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,MADRID OMAR ALFREDO,MADRID,OMAR ALFREDO,"",SAN ANTONIO,"",OMAR ALFREDO MADRID,C,A4126AGG,"301","399",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,MADRID OMAR ALFREDO,MADRID,OMAR ALFREDO,"",SAN ANTONIO,"",OMAR ALFREDO MADRID,C,A4126AGH,"302","400",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,GUEMES GENERAL MARTIN MIGUEL DE,GUEMES,MARTIN MIGUEL DE,GENERAL,"","",GRAL MARTIN M GUEMES,C,A4126AHA,"1","99",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,GUEMES GENERAL MARTIN MIGUEL DE,GUEMES,MARTIN MIGUEL DE,GENERAL,"","",GRAL MARTIN M GUEMES,C,A4126AHB,"2","100",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,GUEMES GENERAL MARTIN MIGUEL DE,GUEMES,MARTIN MIGUEL DE,GENERAL,"","",GRAL MARTIN M GUEMES,C,A4126AHC,"101","199",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,GUEMES GENERAL MARTIN MIGUEL DE,GUEMES,MARTIN MIGUEL DE,GENERAL,"","",GRAL MARTIN M GUEMES,C,A4126AHD,"102","200",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,GUEMES GENERAL MARTIN MIGUEL DE,GUEMES,MARTIN MIGUEL DE,GENERAL,"","",GRAL MARTIN M GUEMES,C,A4126AHE,"201","299",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,GUEMES GENERAL MARTIN MIGUEL DE,GUEMES,MARTIN MIGUEL DE,GENERAL,"","",GRAL MARTIN M GUEMES,C,A4126AHF,"202","300",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,YRIGOYEN PRESIDENTE HIPOLITO,YRIGOYEN,HIPOLITO,PRESIDENTE,"","",PTE H YRIGOYEN,C,A4126AIA,"1","99",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,YRIGOYEN PRESIDENTE HIPOLITO,YRIGOYEN,HIPOLITO,PRESIDENTE,"","",PTE H YRIGOYEN,C,A4126AIB,"2","100",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,YRIGOYEN PRESIDENTE HIPOLITO,YRIGOYEN,HIPOLITO,PRESIDENTE,"","",PTE H YRIGOYEN,C,A4126AIC,"101","199",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,YRIGOYEN PRESIDENTE HIPOLITO,YRIGOYEN,HIPOLITO,PRESIDENTE,"","",PTE H YRIGOYEN,C,A4126AID,"102","200",CALLE,"4126"
SALTA,LA CANDELARIA,EL TALA,YRIGOYEN PRESIDENTE HIPOLITO,YRIGOYEN,HIPOLITO,PRESIDENTE,"","",PTE H YRIGOYEN,C,A4126AIE,"201","299",CALLE,"4126"

