"Departamento","Localidad"
LA CANDELARIA,EL TALA
CERRILLOS,LA CANDELARIA
LA CANDELARIA,ALEM
LA CANDELARIA,BARADERO
LA CANDELARIA,CEIBAL
LA CANDELARIA,EL BRETE
LA CANDELARIA,EL CUIBAL
LA CANDELARIA,LA MARAVILLA
LA CANDELARIA,LA POBLACION
LA CANDELARIA,LOS MOGOTES
LA CANDELARIA,MIRAFLORES
LA CANDELARIA,OVEJERO
LA CANDELARIA,POTRERILLOS
LA CANDELARIA,LA CANDELARIA
LA CANDELARIA,EL NARANJO
LA CANDELARIA,EL SUNCHAL
LA CANDELARIA,LA ASUNCION
LA CANDELARIA,RUIZ DE LOS LLANOS
LA CANDELARIA,SALAZAR
LA CANDELARIA,SAN PEDRO DE ARANDA
LA CANDELARIA,EL TALA EST R DE LOS LLANOS
LA CANDELARIA,EL JARDIN
LA CANDELARIA,EL ESPINAL
ANTA,SANTA VICTORIA
CAFAYATE,LA CIENEGUITA
CAFAYATE,MACHO RASTROJO
CAFAYATE,QUISCA GRANDE
CAFAYATE,TOLOMBON
ROSARIO DE LA FRONTERA,ROSARIO DE LA FRONTERA
ANTA,SANTA TERESA
ROSARIO DE LA FRONTERA,LAS PIEDRITAS
ROSARIO DE LA FRONTERA,VIADUCTO EL MUÑAL
ROSARIO DE LA FRONTERA,BARBAYASCO
ROSARIO DE LA FRONTERA,VILLA AURELIA
ROSARIO DE LA FRONTERA,LOS POCITOS
ROSARIO DE LA FRONTERA,LA BANDA
ROSARIO DE LA FRONTERA,LA MATILDE
ROSARIO DE LA FRONTERA,ROSARIO FUNCA
ROSARIO DE LA FRONTERA,AGUAS CALIENTES
ROSARIO DE LA FRONTERA,BAJADA
ROSARIO DE LA FRONTERA,DURAZNITO
ROSARIO DE LA FRONTERA,EL PORTEZUELO
ROSARIO DE LA FRONTERA,SAN VICENTE
ROSARIO DE LA FRONTERA,PALOMAR
ROSARIO DE LA FRONTERA,OJO DE AGUA
ROSARIO DE LA FRONTERA,OVANDO
ROSARIO DE LA FRONTERA,POTRERILLO
ROSARIO DE LA FRONTERA,SAN ESTEBAN
ROSARIO DE LA FRONTERA,BAÑOS TERMALES
ROSARIO DE LA FRONTERA,CONDOR
ROSARIO DE LA FRONTERA,COSME
ROSARIO DE LERMA,CERRO NEGRO
GUACHIPAS,VAQUERIA
ROSARIO DE LA FRONTERA,SAN PEDRO DE LOS CORRALES
ROSARIO DE LA FRONTERA,EL NARANJO
ROSARIO DE LA FRONTERA,ANTILLA
ROSARIO DE LA FRONTERA,SAN LORENZO
RIVADAVIA,SAN AGUSTIN
ROSARIO DE LA FRONTERA,LOS BAÑOS
ROSARIO DE LA FRONTERA,LOS ROSALES
ROSARIO DE LA FRONTERA,MADARIAGA
ROSARIO DE LA FRONTERA,MORENILLO
ROSARIO DE LA FRONTERA,SAN LUIS
ROSARIO DE LA FRONTERA,BAJADA BLANCA
ROSARIO DE LA FRONTERA,CABEZA DE ANTA
ROSARIO DE LA FRONTERA,CAÑADA DE LA JUNTA
ROSARIO DE LA FRONTERA,CAÑADON DE LAS JUNTAS
ROSARIO DE LA FRONTERA,CERRO COLORADO
ROSARIO DE LA FRONTERA,LAS TUNILLAS
ROSARIO DE LA FRONTERA,POZO BLANCO
ROSARIO DE LA FRONTERA,RECREO
ROSARIO DE LA FRONTERA,SAN ROQUE
ROSARIO DE LA FRONTERA,SANTA CATALINA
ROSARIO DE LA FRONTERA,SURI MICUNA
ROSARIO DE LA FRONTERA,TALA YACO
ROSARIO DE LA FRONTERA,VILLA CORTA
ROSARIO DE LA FRONTERA,VIZCACHERAL
ROSARIO DE LA FRONTERA,SANTA MARIA
ROSARIO DE LA FRONTERA,CERRO NEGRO
ROSARIO DE LA FRONTERA,CHAÑAR AGUADA
ROSARIO DE LA FRONTERA,COLGADAS
ROSARIO DE LA FRONTERA,EL CEIBAL
ROSARIO DE LA FRONTERA,EL OJO
